episode,agent,depth,win,max_tile,moves,duration_sec,grid_sum
1,expectimax,2,False,512,451,29.1380,988.00
2,expectimax,2,False,1024,723,33.2494,1600.00
3,expectimax,2,False,256,360,17.8104,790.00
4,expectimax,2,False,512,509,27.5103,1138.00
5,expectimax,2,False,512,488,22.8656,1114.00
6,expectimax,2,False,1024,854,39.6881,1884.00
7,expectimax,2,False,1024,636,33.4058,1404.00
8,expectimax,2,False,1024,852,46.9257,1892.00
9,expectimax,2,False,1024,958,48.3267,2112.00
10,expectimax,2,False,512,483,22.7903,1070.00
